Date	Average Tip Paid
05/04/2013	10.72898175
06/04/2013	9.571095853
07/04/2013	10.07674877
08/04/2013	10.81946631
09/04/2013	11.07165373
10/04/2013	11.2902235
11/04/2013	11.3683555
12/04/2013	10.92882048
13/04/2013	9.862685504
14/04/2013	9.823235534
15/04/2013	10.6858971
16/04/2013	10.98810509
17/04/2013	11.25243463
18/04/2013	11.28317834
19/04/2013	10.8866849
20/04/2013	10.02619966
21/04/2013	10.24740007
22/04/2013	11.0406194
23/04/2013	11.31299396
24/04/2013	11.38949227
25/04/2013	11.3700151
26/04/2013	10.83538088
27/04/2013	9.912570873
28/04/2013	10.08378255
29/04/2013	10.92948863
30/04/2013	11.24171071
01/05/2013	11.12830569
02/05/2013	11.17295298
03/05/2013	10.67110287
04/05/2013	9.852732697
05/05/2013	10.07211278
06/05/2013	10.78433914
07/05/2013	11.11343519
08/05/2013	11.3373653
09/05/2013	11.27430344
10/05/2013	10.74757162
11/05/2013	9.895611459
12/05/2013	9.856887968
13/05/2013	10.97465288
14/05/2013	11.2452463
15/05/2013	11.39289904
16/05/2013	11.23784413
17/05/2013	10.70302565
18/05/2013	9.839229585
19/05/2013	10.0348212
20/05/2013	10.74994836
21/05/2013	11.04160121
22/05/2013	11.10749263
23/05/2013	11.07113143
24/05/2013	10.50234267
25/05/2013	9.126004873
26/05/2013	8.98485847
27/05/2013	9.625031451
28/05/2013	10.657828
29/05/2013	11.03421504
30/05/2013	11.15888995
31/05/2013	10.74555051
01/06/2013	9.888773149
02/06/2013	10.0497994
03/06/2013	10.94142603
04/06/2013	11.10469315
05/06/2013	11.22240256
06/06/2013	11.00902586
07/06/2013	11.06752363
08/06/2013	9.954677229
09/06/2013	10.12599584
10/06/2013	11.05494413
11/06/2013	11.22037238
12/06/2013	11.22925208
13/06/2013	11.49600025
14/06/2013	11.0241391
15/06/2013	9.840486765
16/06/2013	9.986147793
17/06/2013	10.71210285
18/06/2013	11.27384221
19/06/2013	11.30678758
20/06/2013	11.31746762
21/06/2013	10.48806077
22/06/2013	9.760135586
23/06/2013	9.956745587
24/06/2013	10.67379355
25/06/2013	11.18801159
26/06/2013	11.28294235
27/06/2013	11.37861983
28/06/2013	10.99167683
29/06/2013	9.949307705
30/06/2013	9.980053679
01/07/2013	10.39969014
02/07/2013	10.8508891
03/07/2013	10.40031616
04/07/2013	9.416702071
05/07/2013	8.884688795
06/07/2013	8.736837461
07/07/2013	9.538367828
08/07/2013	10.63838081
09/07/2013	11.11320227
10/07/2013	11.32510617
11/07/2013	11.48501736
12/07/2013	10.99577751
13/07/2013	10.08111236
14/07/2013	10.26698868
15/07/2013	10.95108646
16/07/2013	11.29109621
17/07/2013	11.46950835
18/07/2013	11.50502941
19/07/2013	10.99630828
20/07/2013	10.0694086
21/07/2013	10.20014863
22/07/2013	10.94953152
23/07/2013	11.34504773
24/07/2013	11.33261931
25/07/2013	11.42551654
26/07/2013	10.92168243
27/07/2013	9.836855584
28/07/2013	10.06406971
29/07/2013	10.84041855
30/07/2013	11.1883652
31/07/2013	11.36572875
01/08/2013	11.64823237
02/08/2013	11.15100663
03/08/2013	10.84366201
04/08/2013	10.23439319
05/08/2013	13.3276931
06/08/2013	11.24709936
07/08/2013	11.45235936
08/08/2013	12.15469415
09/08/2013	11.22854266
10/08/2013	9.792872658
11/08/2013	9.822110084
12/08/2013	10.76223748
13/08/2013	11.25133017
14/08/2013	11.26095303
15/08/2013	12.83841613
16/08/2013	10.79173647
17/08/2013	9.823937634
18/08/2013	10.36984016
19/08/2013	11.08407932
20/08/2013	11.33279274
21/08/2013	13.35728014
22/08/2013	12.65824995
23/08/2013	10.78930906
24/08/2013	9.797004743
25/08/2013	13.25663972
26/08/2013	10.77460453
27/08/2013	11.0724688
28/08/2013	11.63638143
29/08/2013	12.87219209
30/08/2013	12.45275759
31/08/2013	11.36494992
01/09/2013	9.001526188
02/09/2013	9.914573168
03/09/2013	10.98073167
04/09/2013	11.22520852
05/09/2013	11.35829437
06/09/2013	11.04726397
07/09/2013	10.33021355
08/09/2013	10.53359927
09/09/2013	11.3230671
10/09/2013	11.62155578
11/09/2013	11.77627228
12/09/2013	11.75204623
13/09/2013	11.30997177
14/09/2013	10.13545864
15/09/2013	10.45801387
16/09/2013	11.31806464
17/09/2013	11.58456659
18/09/2013	11.82276949
19/09/2013	11.67584687
20/09/2013	11.18915646
21/09/2013	10.15097132
22/09/2013	10.45258658
23/09/2013	11.25298566
24/09/2013	11.63317421
25/09/2013	11.84293316
26/09/2013	11.69229336
27/09/2013	11.2943903
28/09/2013	10.21029275
29/09/2013	10.49179366
30/09/2013	11.22150679
01/10/2013	11.47907996
02/10/2013	11.62622748
03/10/2013	11.60666784
04/10/2013	11.1584988
05/10/2013	10.30016205
06/10/2013	10.60657286
07/10/2013	11.33042454
08/10/2013	11.62738637
09/10/2013	11.75570562
10/10/2013	11.77915213
11/10/2013	11.20224541
12/10/2013	10.13262195
13/10/2013	10.23943008
14/10/2013	10.66805667
15/10/2013	11.50684185
16/10/2013	11.71561012
17/10/2013	11.74155392
18/10/2013	11.24830462
19/10/2013	10.33975696
20/10/2013	10.56312115
21/10/2013	11.32841981
22/10/2013	11.71506913
23/10/2013	11.90480913
24/10/2013	11.82502568
25/10/2013	11.39683318
26/10/2013	10.44355883
27/10/2013	10.6521429
28/10/2013	11.34161846
29/10/2013	11.70270259
30/10/2013	11.8896707
31/10/2013	11.50660628
01/11/2013	11.18593322
02/11/2013	10.35254298
03/11/2013	10.82216017
04/11/2013	11.46337711
05/11/2013	11.70077576
06/11/2013	12.01630961
07/11/2013	12.02640117
08/11/2013	11.43603623
09/11/2013	10.52644682
10/11/2013	10.75251297
11/11/2013	11.46738352
12/11/2013	12.10459532
13/11/2013	12.19720509
14/11/2013	12.16978348
15/11/2013	11.59801157
16/11/2013	10.61193381
17/11/2013	10.93312256
18/11/2013	11.82568805
19/11/2013	12.08513932
20/11/2013	12.16163356
21/11/2013	12.07302858
22/11/2013	11.7483946
23/11/2013	10.79423119
24/11/2013	10.99260878
25/11/2013	11.37538116
26/11/2013	11.45966978
27/11/2013	10.91222554
28/11/2013	9.345644938
29/11/2013	8.823892605
30/11/2013	9.256741882
01/12/2013	10.2207804
02/12/2013	11.44823745
03/12/2013	11.86348113
04/12/2013	11.95919149
05/12/2013	11.99255461
06/12/2013	11.58064544
07/12/2013	10.65127839
08/12/2013	10.961866
09/12/2013	11.80881777
10/12/2013	12.28642843
11/12/2013	12.18456513
12/12/2013	12.18928205
13/12/2013	11.84006278
14/12/2013	11.10424446
15/12/2013	11.07714343
16/12/2013	11.71040449
17/12/2013	12.22518869
18/12/2013	12.20308551
19/12/2013	12.05728198
20/12/2013	11.50858531
21/12/2013	10.40274602
22/12/2013	9.878787423
23/12/2013	9.981727637
24/12/2013	9.404151363
25/12/2013	8.5563661
26/12/2013	8.75472897
27/12/2013	8.895931174
28/12/2013	8.666863108
29/12/2013	9.007757029
30/12/2013	9.46349807
31/12/2013	10.11666162
