businessId,businessName,food,good,place,like,great,go,back,really,us,little,nice,also,always,well,lunch,best,try,love,delicious,eat,friendly,made,come,fresh,way,rice,make,bit,staff,ever,definitely,tasty,sure,since,thing,amazing,favorite,special,tried,taste,find,flavor,price,excellent,places,prices,everything,every,lot,new,looking,top,friend,recommend,awesome,quality,large,quite,husband,found,perfect,enjoy,ill,super,coming,disappointed,wonderful,clean,close,fantastic,high,fan,end,yummy,week,quick,real,reason,portion,soon,flavorful,st,regular,often,choice,ice,reasonable,size,offer,valley,w,highly,az,mall,add,ra,usual,generous,thin,de,c,com,businessRating
DDnmNTvIIQu2t3WZ2EQx-w,Sierra Bonita Grill,128,171,145,98,156,332,67,65,439,33,59,37,40,52,42,30,59,86,45,258,25,35,40,41,91,46,44,36,29,138,21,34,23,21,108,32,25,44,19,39,19,53,41,19,12,18,18,55,28,32,10,37,74,22,23,8,15,14,27,1,50,31,210,20,8,15,26,5,18,16,25,23,188,12,40,6,72,17,16,7,17,949,18,8,15,250,4,10,11,7,2708,6,57,31,11,362,10,5,150,545,3248,122,High
Ih1TGSZyu2Q8htn2JA4tIA,Bavarian Point Restaurant,70,59,36,21,16,98,18,17,120,13,7,9,10,10,4,9,10,6,8,67,4,7,7,7,16,5,8,7,3,36,5,8,8,4,28,3,5,10,3,11,3,10,5,6,1,1,7,14,14,5,6,4,15,5,2,3,8,6,4,5,1,4,25,3,2,1,1,5,3,3,4,4,33,3,2,4,18,8,5,3,1,228,1,0,6,42,0,2,3,1,799,1,3,5,5,114,6,1,38,148,612,25,High
FCcFT610nQBVcRdY-devQA,Vintage 95,87,66,113,49,119,159,66,50,287,21,49,36,16,28,24,16,28,47,22,198,19,7,24,8,41,28,11,11,17,66,19,13,10,10,56,30,16,19,14,12,11,10,28,7,8,5,14,29,11,21,12,23,50,22,13,7,3,9,3,5,31,20,72,6,5,7,11,1,10,11,13,19,128,2,12,6,55,11,8,4,3,443,5,2,10,142,3,9,7,7,1601,8,42,8,3,123,6,2,69,311,1699,109,High
X_J65cnN3jJWGYacyNwKGg,The Barbecue Company,24,69,82,28,30,124,20,18,117,13,7,12,13,10,50,13,28,10,15,110,11,7,11,3,24,11,13,11,6,58,13,6,10,9,44,2,7,9,9,8,8,16,11,7,7,4,11,31,11,5,5,12,18,5,8,0,4,1,3,7,2,4,35,4,2,6,1,5,7,8,1,10,45,2,14,7,27,4,6,1,2,226,3,2,5,59,1,5,1,3,764,0,7,10,12,61,4,2,54,147,964,44,High
vfzUNcV9B3RhDyuZp0I1pQ,Pullano's Pizza & Wings,25,45,82,26,36,93,20,21,145,7,9,19,9,16,4,22,15,21,12,69,9,5,7,4,21,9,12,3,9,34,7,1,12,9,26,10,7,29,5,4,7,8,9,2,6,3,3,11,8,10,7,9,30,8,14,2,12,0,10,4,5,3,42,6,6,1,1,1,4,3,3,9,50,0,2,2,24,6,3,1,1,218,1,2,1,46,0,2,6,3,777,2,14,5,4,80,7,0,33,157,774,35,High
qjmCVYkwP-HDa35jwYucbQ,True Food Kitchen,793,411,358,368,260,841,186,230,1318,109,124,156,73,132,106,79,157,268,160,670,84,74,93,294,201,164,113,119,103,436,69,103,72,51,359,93,72,58,71,159,44,123,125,49,33,37,98,200,82,73,27,86,229,69,64,27,32,41,24,33,88,100,324,37,19,23,34,56,21,41,75,80,416,46,50,28,258,39,63,21,33,2488,10,17,38,713,13,33,39,10,7188,26,127,58,51,955,42,6,474,1586,8059,349,High
r2DS-PqOMA35EssB47SWNg,Paradise Bakery & Cafe,3,4,1,2,3,7,3,3,16,2,2,1,5,0,2,1,0,7,0,9,1,3,2,1,5,1,3,3,1,6,1,0,2,0,4,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,1,0,5,0,2,0,3,0,0,0,0,20,0,0,0,4,0,0,0,0,67,1,1,1,0,10,3,0,4,11,83,6,High
Jje3kP5CNasYDSpH0NPRGQ,NYPD Pizza,11,20,8,11,16,30,1,2,40,7,7,6,2,4,5,2,5,12,2,24,3,1,2,7,7,10,1,1,3,10,2,0,3,2,2,0,3,4,2,8,0,6,10,0,3,2,1,3,0,4,0,7,5,0,1,0,2,1,4,0,0,5,4,2,0,3,0,0,0,0,2,1,8,0,4,3,3,2,0,0,0,82,0,1,1,37,1,2,5,2,192,0,0,0,0,14,0,0,7,31,193,7,High
7cP7WFmWiTVh-raIL3N_Vw,The Roosevelt,120,148,272,174,145,358,104,93,553,71,57,55,51,51,1,29,66,110,26,316,35,38,68,7,126,27,47,53,30,148,18,14,44,13,118,32,39,35,23,14,37,6,27,18,18,16,12,61,31,38,20,35,124,16,33,4,15,17,4,15,30,38,223,25,14,8,13,6,19,17,30,29,233,10,34,14,107,20,2,9,1,1053,10,3,14,180,8,8,27,5,3075,7,47,49,12,315,13,1,173,561,3499,195,High
S0mTCni_l8jK0cYj8K8dLA,Jack in the Box,0,1,1,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,2,0,0,0,0,28,0,2,0,0,2,0,0,1,7,24,0,High
ElEF5b3n27IBzbA4R-1M1g,Brown Bear BBQ,3,6,3,8,2,7,3,2,10,0,0,2,0,1,1,2,3,1,0,6,0,0,0,0,1,1,2,1,0,0,0,0,1,1,0,0,0,1,1,5,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,1,0,1,0,2,0,2,0,0,22,0,0,0,2,0,0,0,0,54,1,0,1,0,1,0,1,0,9,47,1,High
W3VsNhHLMRj5ABMdMcpaUw,Queen Creek Olive Mill Oils & Olives,1,8,9,5,6,12,0,9,18,3,2,9,4,6,1,1,5,14,1,8,1,5,1,0,6,0,1,0,2,7,0,0,0,0,13,1,6,3,1,6,1,5,0,0,1,0,3,5,1,2,0,3,3,0,1,1,0,0,0,1,3,1,8,0,0,0,0,0,1,0,1,1,8,1,0,0,9,1,0,3,1,50,0,0,0,4,0,0,0,0,75,1,1,0,2,16,0,0,13,15,144,6,High
iZdynPTpKwbX5O3uLeC9Gg,Chicago Gyros,2,3,2,1,1,4,0,0,2,0,3,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,5,0,0,0,4,0,0,0,0,24,1,1,0,0,1,0,1,0,5,17,4,High
tA2DT7CGQPzgA6tTcTkXDw,Centro Paninoteca,27,38,42,22,28,83,21,12,79,23,14,11,6,9,0,3,7,8,2,41,12,7,6,6,24,6,5,9,12,20,7,3,6,7,18,0,4,7,2,2,1,2,6,8,2,2,3,8,3,6,8,9,22,6,1,1,6,2,2,7,5,9,25,2,3,0,0,1,2,0,3,2,49,1,2,3,13,4,0,2,0,182,0,2,7,43,1,3,2,0,566,0,2,16,7,50,2,1,27,105,612,26,High
UPbkeVTJR6C-1I7sCuUrmw,El Mas Sabroso Mexican Food,11,8,9,5,2,17,1,0,11,4,2,2,2,1,2,1,4,3,1,6,2,1,2,4,4,7,3,6,3,2,0,1,2,0,4,1,1,1,2,0,0,0,2,2,0,2,0,1,3,1,2,0,2,0,1,0,1,0,1,0,0,0,6,0,2,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,30,1,0,0,13,0,1,0,0,87,0,1,1,2,11,1,0,7,16,121,4,High
yMUVflS-2SnOGafXmdHy6w,Pho Ao Sen,111,154,162,76,80,272,51,55,298,33,67,47,31,31,16,38,48,45,32,190,18,23,46,44,59,78,25,34,22,96,27,22,12,21,74,17,42,16,26,48,13,40,38,24,38,17,17,30,22,17,15,29,60,16,7,23,14,9,8,10,9,17,88,10,12,4,14,38,11,7,21,19,127,18,7,19,62,20,15,3,10,676,10,7,8,270,11,13,10,16,1711,8,26,25,26,267,16,4,105,420,2151,142,High
wqLEZpKy3qfE372OPAB4Pg,Jack in the Box,3,0,2,2,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,8,0,1,0,0,3,0,0,1,3,9,1,High
L9UYbtAUOcfTgZFimehlXw,Liberty Market,413,372,453,259,365,829,155,194,1235,113,122,159,135,124,138,114,214,247,125,686,93,98,113,116,279,79,100,103,110,383,62,61,63,53,314,113,104,87,71,78,63,67,70,43,51,25,70,177,47,58,35,95,213,63,94,34,39,37,32,38,73,70,376,43,26,33,49,33,26,44,47,86,422,33,67,18,245,36,30,20,19,2648,18,19,33,499,10,31,32,30,6582,23,152,43,50,746,42,5,432,1508,7622,380,High
WEUgyNNslbwhqYgku8Gt3Q,Humble Pie,31,48,30,28,22,105,17,15,151,8,12,11,9,10,10,10,13,15,6,61,5,5,9,8,28,12,7,4,9,27,8,3,2,4,20,5,4,14,7,8,1,6,12,10,1,2,5,12,7,4,2,9,12,2,4,0,5,2,1,4,7,8,38,3,1,1,2,1,8,4,4,6,28,0,5,5,18,0,6,1,0,222,1,2,4,62,0,7,7,1,727,2,9,15,3,54,4,1,29,130,696,32,High
mBM3e0DHU9T2r_mfojSciQ,Ross's Hooked & Cooked,2,2,1,3,1,4,0,0,11,2,0,0,0,2,0,1,0,0,3,2,0,1,0,0,0,2,0,3,0,2,1,0,1,0,1,1,1,0,1,3,0,2,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,36,0,1,0,1,0,1,0,2,8,41,1,High
UtUXhKh7vOVvWJF48IzJvQ,P.F. Chang's China Bistro,76,64,34,39,34,134,14,36,160,10,19,15,28,23,19,7,12,26,4,86,5,9,15,4,42,31,16,4,12,52,6,2,8,10,26,9,4,15,9,12,6,8,11,5,5,5,6,19,6,14,4,6,19,6,12,6,5,4,4,4,9,8,43,6,4,1,2,10,6,5,5,14,42,7,2,2,38,5,5,0,1,305,4,2,2,105,2,7,8,1,921,2,18,9,8,151,6,1,41,188,1174,53,High
SkiQh32UtfsRBj_l7cGwOQ,Mcdonald's,1,0,1,0,1,5,0,0,3,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,10,0,0,0,0,4,0,0,0,2,17,1,High
-E6XYf1ce1NCtV3QQI-3xA,LongHorn Steakhouse,22,22,17,15,18,57,18,7,93,8,15,9,3,17,4,8,10,6,3,46,6,9,9,4,19,8,9,7,2,22,4,2,8,3,18,4,1,2,0,5,3,16,8,5,3,3,4,9,13,8,0,8,8,1,1,6,3,3,0,2,11,4,36,0,2,0,4,2,2,2,1,4,33,1,2,3,12,3,2,4,4,236,0,0,6,62,0,2,3,5,583,0,4,4,1,73,4,1,23,114,512,24,High
Q5sAi0_PmyUMEA0QZRzWdQ,Subway,1,1,2,1,4,4,0,1,2,0,1,0,0,0,1,0,0,0,0,6,0,0,0,1,7,0,1,0,0,3,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,8,0,1,0,3,0,0,0,0,38,0,0,1,0,3,0,0,6,3,23,0,High
mkvWFODsaXHe5MXAyDnRWw,Hammered Hog,0,0,2,2,0,4,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,18,0,0,1,0,1,0,0,1,0,19,0,High
HHFjjljqoH5qs7Cy1i9R4A,Filiberto's Mexican Food,19,5,1,5,1,10,0,1,13,0,0,0,2,4,0,6,3,4,1,5,0,0,1,1,5,0,4,1,0,6,0,0,1,0,2,0,0,2,4,2,2,0,0,0,0,0,1,2,0,1,2,1,0,0,1,2,0,0,0,0,1,1,5,1,0,2,0,0,1,0,0,0,3,0,0,1,2,0,0,0,0,30,0,0,0,2,0,0,1,2,83,0,1,0,0,9,0,0,4,8,91,3,High
pz-jypT4fEPQKr9RZtVdAw,KISS Back East Pizza and Beef Joint,10,6,14,2,5,35,3,4,18,4,0,7,2,3,1,6,3,3,1,14,1,0,1,1,4,0,4,2,1,2,2,1,0,0,3,0,2,0,2,1,3,1,0,2,1,0,0,1,3,4,1,0,1,2,1,1,0,0,0,2,0,2,4,0,0,2,1,0,0,2,1,2,4,0,1,0,4,1,0,3,0,58,0,0,0,19,0,0,1,0,127,0,0,2,2,13,0,0,8,25,200,6,High
URWorZgi-9E1ubknpZkndg,Subway,0,2,1,0,2,3,0,2,5,0,0,1,1,1,3,0,0,0,0,4,0,1,2,3,9,0,0,0,1,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,11,0,0,0,0,0,0,0,0,28,0,1,0,0,5,1,0,0,5,21,3,High
rPp509oz4oFEdncoo7v_HA,Burgers & Bottles,17,34,46,16,19,64,13,15,66,6,7,12,3,8,0,5,10,7,3,46,5,14,5,5,16,16,13,5,5,21,5,3,3,5,19,3,2,6,3,5,2,4,16,6,3,5,4,8,1,6,3,4,7,3,5,5,0,2,1,2,5,2,19,1,3,0,3,9,5,1,1,4,14,1,4,1,17,3,0,6,1,126,0,0,1,40,3,2,3,2,453,0,5,5,4,40,0,0,25,96,531,23,High
xbZo8aMOOobPRzHKqmA88g,Barro's Pizza,8,25,8,9,8,42,1,6,37,4,2,8,5,4,8,4,2,2,3,23,4,2,1,4,6,3,4,0,4,8,2,0,2,5,2,4,5,10,0,2,0,2,3,0,1,1,0,5,3,0,1,8,5,2,3,2,2,0,3,0,1,0,9,0,0,1,0,2,2,1,1,2,9,0,1,1,7,1,0,0,0,57,1,0,1,18,0,0,0,3,128,0,5,2,2,18,1,0,6,30,168,8,High
vujjKuD4Vls4xKLe5MJ63Q,Rumbi Island Grill,15,18,22,11,4,36,3,13,28,5,1,4,4,1,7,2,5,5,5,15,4,4,2,4,6,23,2,6,3,12,2,6,1,1,6,2,2,1,2,2,0,6,1,0,2,0,1,6,4,0,3,5,5,3,1,0,3,0,1,0,2,0,18,1,1,4,0,1,2,0,5,1,11,2,0,1,13,2,2,0,2,75,1,0,1,37,0,7,1,0,172,3,2,0,5,12,2,0,8,41,264,10,High
SGGZ6l345YTww09IHxtoew,Ezekiel's Restaurant,45,39,32,20,12,73,12,20,99,16,9,7,2,4,6,15,16,9,7,38,14,5,16,7,13,9,9,9,5,26,3,3,5,1,17,5,0,2,6,12,8,6,8,1,3,2,6,12,3,2,6,7,22,4,4,2,3,3,5,7,8,2,22,6,4,1,3,1,4,3,3,4,35,1,3,0,22,5,4,1,2,161,3,0,3,33,2,0,2,2,597,1,8,7,4,50,2,0,27,112,799,37,High
lSlfbGPYtQ8bARSEiN9cYw,Taco Bell,4,1,3,2,1,4,1,1,5,0,1,0,2,1,0,0,0,2,0,3,1,0,0,0,2,0,1,0,1,4,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,1,0,1,0,0,20,0,0,0,2,0,0,0,1,28,0,0,0,0,4,0,0,1,4,30,0,High
E6HzAdx2vyZVyuNoa4-Xaw,Los Picos Parrilla Restaurant,34,27,43,14,22,55,8,10,60,7,7,6,5,8,3,12,4,4,9,39,6,8,4,13,12,13,7,4,4,26,6,4,6,1,12,4,4,2,2,7,5,6,3,7,3,2,2,7,3,0,3,4,18,5,8,1,0,3,2,2,7,7,23,4,1,1,3,2,1,2,5,3,33,0,2,1,13,1,2,0,2,134,4,0,2,39,1,0,3,1,396,2,8,8,3,38,1,0,15,95,453,17,High
#NAME?,Casa Ramos,80,54,57,16,38,96,17,12,102,15,11,14,2,11,9,19,15,7,17,64,12,13,15,14,7,22,4,4,9,33,8,6,2,7,32,10,5,6,6,16,4,10,7,11,4,3,9,18,11,6,4,5,17,12,2,6,7,1,7,13,9,4,38,6,2,2,6,7,1,2,9,5,38,1,6,1,13,2,15,4,4,215,4,3,2,77,2,3,4,5,565,5,13,2,2,92,5,1,36,139,762,42,High
qAORECtABjr_FsvSzy1apw,Smashburger,19,17,15,20,16,48,12,12,76,6,6,7,3,10,1,6,6,16,4,37,7,4,6,6,6,3,6,2,7,18,1,5,4,10,14,3,4,4,3,8,1,12,3,2,1,0,4,8,2,5,1,8,7,1,2,0,0,2,8,3,0,15,15,2,2,1,1,7,6,3,1,5,11,1,3,4,17,1,3,0,1,139,2,0,2,24,0,6,1,0,376,1,7,6,2,38,0,1,19,76,472,15,High
_EdSQOkATuCtZ5y5A2m0rw,Arby's,4,0,1,1,0,2,1,0,6,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,1,0,2,0,0,0,0,10,0,0,1,0,5,0,0,0,4,30,1,High
M0UqoJlAUzKx6dW2CT8d8w,Tony's Pizzeria,0,1,0,0,1,5,0,1,8,1,1,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,10,0,0,0,3,0,0,0,0,16,0,0,0,0,3,0,0,1,7,28,1,High
R2FuwuSjmyvzNWNfqzKUvw,Sauce,46,62,43,42,35,123,18,32,155,15,10,21,19,11,13,13,14,30,12,81,11,5,13,12,33,15,10,3,17,35,6,13,8,14,31,9,5,12,8,12,3,11,15,4,3,6,9,10,7,6,2,17,21,9,6,3,6,4,2,1,5,11,31,2,8,4,2,4,0,1,7,7,40,6,3,16,36,4,11,2,2,305,2,2,2,64,3,3,3,3,763,2,13,10,8,96,6,0,61,157,979,45,High
CVBYF1AMlrZbScRXX8d6XQ,Nick's at Grayhawk,8,11,4,8,7,24,2,6,31,3,5,1,6,1,2,1,3,4,1,16,3,4,2,11,10,6,2,2,1,11,0,0,2,1,7,0,0,8,2,5,1,3,6,2,0,4,3,4,0,0,1,5,3,1,0,2,2,1,0,2,3,2,9,1,0,0,0,4,2,0,1,1,5,0,1,1,7,1,2,0,0,68,0,1,0,22,1,0,0,0,172,0,2,0,0,28,2,0,12,33,251,5,High
7lp13T_FUmX1XjU2wen_qw,Razz's Restaurant & Catering,84,53,37,47,56,134,24,19,253,19,21,23,13,32,0,27,30,37,16,134,5,23,18,11,37,24,14,18,15,95,14,15,25,10,61,18,14,32,10,18,12,21,21,9,3,4,19,41,13,18,4,22,18,10,2,1,2,15,7,7,19,23,94,8,6,9,9,2,11,11,8,16,66,3,4,5,25,6,10,11,4,541,8,4,5,100,0,4,5,8,1590,2,171,28,10,351,7,0,82,275,1662,96,High
