date,trips,MeanTemperatureF, MeanWindSpeedMPH, Events
2013-03-17,194712,34,6,Clear
2013-03-18,190682,32,10,Rain-Snow
2013-03-19,190001,38,10,Rain
2013-03-20,187491,39,8,Clear
2013-03-21,191741,35,6,Snow
2013-03-22,206548,35,9,Clear
2013-03-23,210230,39,10,Clear
2013-03-24,177262,40,5,Clear
2013-03-25,180560,38,9,Rain-Snow
2013-03-26,177698,45,5,Clear
2013-03-27,183389,45,6,Clear
2013-03-28,183400,44,6,Clear
2013-03-29,196102,48,6,Clear
2013-03-30,189748,50,4,Clear
2013-03-31,175489,49,6,Rain
2013-04-01,175079,50,7,Rain
2013-04-02,197142,38,10,Clear
2013-04-03,192880,40,11,Clear
2013-04-04,193159,43,6,Clear
2013-04-05,199376,53,6,Clear
2013-04-06,184251,44,6,Clear
2013-04-07,163031,48,7,Clear
2013-04-08,173306,62,4,Clear
2013-04-09,177941,67,5,Clear
2013-04-10,189237,65,5,Rain
2013-04-11,191753,54,6,Clear
2013-04-12,208231,44,11,Rain
2013-04-13,208091,50,3,Rain
2013-04-14,178635,52,6,Rain
2013-04-15,176422,52,6,Clear
2013-04-16,176004,55,7,Clear
2013-04-17,180391,63,5,Rain
2013-04-18,186178,55,6,Rain
2013-04-19,193797,63,7,Rain
2013-04-20,212414,52,9,Rain
2013-04-21,183717,46,5,Clear
2013-04-22,180027,48,10,Clear
2013-04-23,185571,47,9,Clear
2013-04-24,181116,57,5,Clear
2013-04-25,178325,56,5,Clear
2013-04-26,187590,59,3,Clear
2013-04-27,191660,60,5,Clear
2013-04-28,171535,60,4,Clear
2013-04-29,176967,55,5,Rain
2013-04-30,177350,60,5,Clear
2013-05-01,173021,58,5,Clear
2013-05-02,183676,61,4,Clear
2013-05-03,196737,58,7,Clear
2013-05-04,203181,59,6,Clear
2013-05-05,184323,55,6,Clear
2013-05-06,172552,58,4,Clear
2013-05-07,176008,63,6,Clear
2013-05-08,178019,59,6,Rain
2013-05-09,177028,61,4,Rain
2013-05-10,183307,69,4,Clear
2013-05-11,202449,66,3,Rain
2013-05-12,170114,61,8,Rain
2013-05-13,175935,52,7,Clear
2013-05-14,176211,52,4,Clear
2013-05-15,179818,62,10,Clear
2013-05-16,178762,71,4,Clear
2013-05-17,177543,65,4,Clear
2013-05-18,181191,61,2,Clear
2013-05-19,176400,57,5,Rain
2013-05-20,168658,69,2,Fog
2013-05-21,170087,77,5,Clear
2013-05-22,171742,69,3,Clear
2013-05-23,160607,72,5,Rain
2013-05-24,174271,55,5,Rain
2013-05-25,177438,50,9,Rain
2013-05-26,141690,57,8,Clear
2013-05-27,128470,62,4,Clear
2013-05-28,162434,62,3,Rain
2013-05-29,167064,70,2,Fog
2013-05-30,174171,81,5,Clear
2013-05-31,180870,83,4,Clear
2013-06-01,197846,82,4,Clear
2013-06-02,164293,79,6,Rain
2013-06-03,172148,72,3,Rain
2013-06-04,165510,66,5,Clear
2013-06-05,166946,66,4,Clear
2013-06-06,171959,65,5,Rain
2013-06-07,188184,61,8,Rain
2013-06-08,176475,67,4,Rain
2013-06-09,152271,72,2,Clear
2013-06-10,168209,66,6,Rain
2013-06-11,165773,72,6,Rain
2013-06-12,162508,71,5,Clear
2013-06-13,181076,62,7,Rain
2013-06-14,177090,63,5,Rain
2013-06-15,176607,71,4,Clear
2013-06-16,153488,73,4,Clear
2013-06-17,163154,77,3,Rain
2013-06-18,165722,74,4,Rain
2013-06-19,169092,68,5,Rain
2013-06-20,168756,71,4,Clear
2013-06-21,173134,73,5,Clear
2013-06-22,168326,75,4,Clear
2013-06-23,160991,79,5,Clear
2013-06-24,164661,83,4,Clear
2013-06-25,166851,82,3,Clear
2013-06-26,167987,80,4,Rain
2013-06-27,170542,80,4,Rain
2013-06-28,171409,79,5,Clear
2013-06-29,170715,77,4,Clear
2013-06-30,145617,80,3,Rain
2013-07-01,157017,75,3,Rain
2013-07-02,164640,77,3,Rain
2013-07-03,159799,78,4,Rain
2013-07-04,129921,81,4,Clear
2013-07-05,144845,83,5,Clear
2013-07-06,142093,85,5,Clear
2013-07-07,142133,85,4,Clear
2013-07-08,158991,81,5,Rain
2013-07-09,167992,81,3,Rain
2013-07-10,167027,80,4,Rain
2013-07-11,171774,80,4,Clear
2013-07-12,180308,73,10,Rain
2013-07-13,171293,74,5,Rain
2013-07-14,161073,82,4,Rain
2013-07-15,166230,86,4,Clear
2013-07-16,167675,86,5,Clear
2013-07-17,176385,88,3,Clear
2013-07-18,179573,90,4,Clear
2013-07-19,183872,90,5,Clear
2013-07-20,187091,87,6,Clear
2013-07-21,152142,83,5,Clear
2013-07-22,166478,81,5,Rain
2013-07-23,164196,80,4,Rain
2013-07-24,161247,76,5,Clear
2013-07-25,164504,66,9,Rain
2013-07-26,165186,74,5,Clear
2013-07-27,161649,76,3,Clear
2013-07-28,152099,74,2,Rain
2013-07-29,149767,77,4,Rain
2013-07-30,158650,75,4,Clear
2013-07-31,158025,75,3,Clear
2013-08-01,108287,71,3,Rain
2013-08-02,84544,75,5,Clear
2013-08-03,84112,73,3,Rain
2013-08-04,72674,73,5,Clear
2013-08-05,151221,70,3,Clear
2013-08-06,162477,73,3,Clear
2013-08-07,165150,75,5,Clear
2013-08-08,163139,76,4,Rain
2013-08-09,176859,80,4,Rain
2013-08-10,160633,77,5,Clear
2013-08-11,68075,73,3,Clear
2013-08-12,151202,76,2,Rain
2013-08-13,159575,73,3,Rain
2013-08-14,160569,68,6,Clear
2013-08-15,161241,69,4,Clear
2013-08-16,152261,73,2,Clear
2013-08-17,153793,74,2,Clear
2013-08-18,139561,72,3,Clear
2013-08-19,148627,73,3,Clear
2013-08-20,157666,78,3,Clear
2013-08-21,159693,81,3,Clear
2013-08-22,164106,75,4,Rain
2013-08-23,161954,77,6,Clear
2013-08-24,163841,73,5,Clear
2013-08-25,143960,74,4,Clear
2013-08-26,152107,76,6,Rain
2013-08-27,157986,79,5,Rain
2013-08-28,160374,79,3,Rain
2013-08-29,160227,76,5,Rain
2013-08-30,163388,78,4,Clear
2013-08-31,162842,80,5,Clear
2013-09-01,139743,80,2,Clear
2013-09-02,134425,78,1,Rain
2013-09-03,156864,75,3,Rain
2013-09-04,163943,74,5,Clear
2013-09-05,173222,72,6,Clear
2013-09-06,177915,65,4,Clear
2013-09-07,178148,70,3,Clear
2013-09-08,167640,74,7,Clear
2013-09-09,166324,65,4,Clear
2013-09-10,165908,78,6,Clear
2013-09-11,174571,87,4,Clear
2013-09-12,166898,79,4,Rain
2013-09-13,178331,68,5,Rain
2013-09-14,190736,61,5,Clear
2013-09-15,162836,62,4,Clear
2013-09-16,159682,65,5,Rain
2013-09-17,160454,58,5,Clear
2013-09-18,163627,62,3,Clear
2013-09-19,170376,67,3,Clear
2013-09-20,173417,70,3,Clear
2013-09-21,183356,69,4,Rain
2013-09-22,158320,62,6,Rain
2013-09-23,142351,58,4,Clear
2013-09-24,149449,60,4,Clear
2013-09-25,155921,63,2,Clear
2013-09-26,163040,65,4,Clear
2013-09-27,166717,63,5,Clear
2013-09-28,177635,65,5,Clear
2013-09-29,161677,65,3,Clear
2013-09-30,154635,66,3,Clear
2013-10-01,160036,71,2,Clear
2013-10-02,166775,74,4,Clear
2013-10-03,169689,71,2,Clear
2013-10-04,180665,76,3,Rain
2013-10-05,193625,70,4,Clear
2013-10-06,160714,68,6,Clear
2013-10-07,156471,68,6,Rain
2013-10-08,160504,61,6,Clear
2013-10-09,166587,58,8,Clear
2013-10-10,169843,60,9,Rain
2013-10-11,172000,64,9,Rain
2013-10-12,180828,66,11,Clear
2013-10-13,159904,61,9,Clear
2013-10-14,155493,59,2,Clear
2013-10-15,156624,63,3,Clear
2013-10-16,165684,62,3,Clear
2013-10-17,168903,67,3,Rain
2013-10-18,175333,62,7,Clear
2013-10-19,189116,58,3,Clear
2013-10-20,166528,57,6,Clear
2013-10-21,161043,58,4,Clear
2013-10-22,166446,59,5,Clear
2013-10-23,172058,50,4,Clear
2013-10-24,173289,48,7,Clear
2013-10-25,182571,47,5,Clear
2013-10-26,192364,48,6,Clear
2013-10-27,171565,52,5,Clear
2013-10-28,158133,52,4,Clear
2013-10-29,164095,50,5,Clear
2013-10-30,168315,54,2,Clear
2013-10-31,170453,60,4,Rain
2013-11-01,181797,65,5,Rain
2013-11-02,195632,62,4,Clear
2013-11-03,184988,46,6,Clear
2013-11-04,166046,41,6,Clear
2013-11-05,168050,48,4,Clear
2013-11-06,166006,55,4,Clear
2013-11-07,167841,54,7,Rain
2013-11-08,174218,45,9,Clear
2013-11-09,189774,44,5,Clear
2013-11-10,167472,53,8,Clear
2013-11-11,151611,48,6,Clear
2013-11-12,171318,42,6,Rain-Snow
2013-11-13,174826,34,6,Clear
2013-11-14,173787,43,8,Clear
2013-11-15,173214,51,5,Clear
2013-11-16,186281,53,3,Rain
2013-11-17,168232,56,4,Rain
2013-11-18,160008,58,7,Rain
2013-11-19,172647,44,9,Clear
2013-11-20,173269,38,7,Clear
2013-11-21,168234,44,5,Clear
2013-11-22,176989,54,6,Rain
2013-11-23,201456,43,10,Snow
2013-11-24,202653,27,12,Clear
2013-11-25,167778,29,6,Clear
2013-11-26,148321,40,4,Rain
2013-11-27,169817,49,10,Rain
2013-11-28,131289,33,7,Clear
2013-11-29,156372,34,4,Clear
2013-11-30,166309,32,5,Clear
2013-12-01,146510,43,2,Clear
2013-12-02,156797,45,3,Clear
2013-12-03,162982,46,3,Clear
2013-12-04,158987,47,3,Clear
2013-12-05,167584,54,2,Rain
2013-12-06,176650,50,6,Rain
2013-12-07,193364,37,6,Rain
2013-12-08,180657,31,6,Rain-Snow
2013-12-09,169226,35,7,Rain-Snow
2013-12-10,175591,34,6,Snow
2013-12-11,160104,30,8,Clear
2013-12-12,165426,27,7,Clear
2013-12-13,179869,29,6,Clear
2013-12-14,188815,28,10,Rain-Snow
2013-12-15,175279,35,9,Rain
2013-12-16,165838,29,8,Clear
2013-12-17,177501,28,6,Rain-Snow
2013-12-18,167582,30,7,Clear
2013-12-19,165143,39,5,Clear
2013-12-20,176785,47,5,Clear
2013-12-21,168144,58,8,Clear
2013-12-22,144707,66,6,Clear
2013-12-23,146425,53,5,Rain
2013-12-24,162041,34,8,Clear
2013-12-25,101610,25,5,Clear
2013-12-26,128750,33,5,Clear
2013-12-27,141040,36,6,Clear
2013-12-28,138371,46,7,Clear
2013-12-29,156936,45,6,Rain
2013-12-30,152847,34,6,Clear
2013-12-31,199729,27,6,Clear
