"name","type","city","state",stars,review_count
"SIR Hobo's","business","Sun Prairie","WI",3.0,20
"Peking Chinese Restaurant","business","Sun Prairie","WI",3.0,6
"Prairie Diner","business","Sun Prairie","WI",4.5,9
"Sun Prairie Golf Course","business","Sun Prairie","WI",2.5,3
"Kfc","business","Sun Prairie","WI",1.0,3
"Prairie Athletic Club","business","Sun Prairie","WI",4.5,7
"McV Salon","business","Sun Prairie","WI",5.0,4
"Wal-Mart","business","Sun Prairie","WI",2.0,3
"Country Cafe","business","Sun Prairie","WI",3.5,9
"Angell Park Speedway","business","Sun Prairie","WI",3.5,3
"Dairy Queen","business","Sun Prairie","WI",4.0,4
"Prairie Land Service Center","business","Sun Prairie","WI",5.0,3
"Ammo Box","business","Sun Prairie","WI",4.5,4
"Lake Windsor Golf Club","business","Windsor","WI",4.0,6
"The Rodeside Grill","business","Windsor","WI",3.5,14
"A&W Restaurant","business","Windsor","WI",3.5,6
"Mousehouse Cheesehaus","business","Windsor","WI",4.0,23
"Summit Credit Union","business","Madison","WI",3.5,3
"Sugar Shack Records","business","Madison","WI",2.5,4
"Java Detour","business","Madison","WI",4.5,14
"Target","business","Madison","WI",4.0,8
"Flaming Wok","business","Madison","WI",3.5,20
"Old Navy Store","business","Madison","WI",4.0,4
"Sprint","business","Madison","WI",3.0,4
"The Coffee Gallerie","business","Madison","WI",3.0,6
"Bongo Video","business","Madison","WI",5.0,3
"Laredo's","business","Madison","WI",3.5,19
"China Wok","business","Madison","WI",3.5,17
"Cousins Subs","business","Madison","WI",3.5,3
"Sports Pub","business","Madison","WI",2.5,14
"Burger King","business","Madison","WI",1.5,10
"Wiggie's","business","Madison","WI",1.5,3
"Rebecca Lynn Studio","business","Madison","WI",5.0,7
"Jo-Ann Fabrics & Crafts","business","Madison","WI",2.0,8
"Cheeseburger in Paradise","business","Middleton","WI",2.5,46
"Benvenuto's Italian Grill","business","Madison","WI",3.0,22
"Boston Store","business","Madison","WI",1.5,5
"Wilson's Bar","business","Madison","WI",3.5,16
"Barrymore Theatre","business","Madison","WI",4.0,16
"Chocolate Shoppe Ice Cream","business","Madison","WI",3.5,7
"JCPenney","business","Madison","WI",3.5,4
"Econo Lodge","business","Madison","WI",2.0,3
"Heel & Sole Connection","business","Madison","WI",4.0,5
"Rocky Rococo Pan Style Pizza","business","Madison","WI",1.5,3
"Denny's","business","Madison","WI",2.5,6
"New Orleans Take-Out","business","Madison","WI",4.0,43
"Sandhill Pet Clinic","business","Madison","WI",5.0,5
"Pedro's Mexican Restaurante","business","Madison","WI",2.5,48
"Guitar Shop of Wisconsin","business","Madison","WI",5.0,3
"Schenk's Corners Coin-Op Laundromat","business","Madison","WI",4.5,3
"Perkins Restaurant & Bakery","business","Madison","WI",2.5,8
"Chang Jiang","business","Madison","WI",2.0,6
"Red Letter News","business","Madison","WI",2.5,6
"Cracker Barrel Old Country Store","business","Madison","WI",3.0,13
"Union Cab of Madison","business","Madison","WI",3.5,25
"Hardee's","business","Madison","WI",4.0,5
"Enterprise Rent-A-Car","business","Madison","WI",4.5,5
"Culver's","business","Madison","WI",2.0,5
"The Home Depot","business","Madison","WI",3.0,10
"Microtel Inn & Suites Madison","business","Madison","WI",2.5,6
"Chili's","business","Madison","WI",3.0,9
"Copps Food Center","business","Madison","WI",3.0,8
"Madison Area Technical College","business","Madison","WI",4.5,3
"Slice-N-Bullits Bar & Grill","business","Madison","WI",4.0,6
"Designs By the Bay","business","Madison","WI",2.5,5
"Sarku Japan","business","Madison","WI",4.5,3
"Revolution Cycles","business","Madison","WI",4.0,13
"Busse's Markway Tavern Inc","business","Madison","WI",4.0,3
"Half Price Books","business","Madison","WI",4.0,13
"East Towne Mall","business","Madison","WI",2.0,6
"Mermaid Car Wash","business","Madison","WI",2.0,4
"Applebee's","business","Madison","WI",2.5,13
"Bridges Golf Course","business","Madison","WI",3.5,9
"McDonald's","business","Madison","WI",3.0,3
"Wendy's","business","Madison","WI",1.0,3
"Best Western Plus East Towne Suites","business","Madison","WI",2.0,8
"Altered States Alterations","business","Madison","WI",4.5,9
"Taco Bell","business","Madison","WI",4.0,4
"Williamson Bikes & Fitness","business","Madison","WI",3.5,3
"Area 51 Vintage Interiors","business","Madison","WI",3.0,3
"Red Lobster","business","Madison","WI",3.0,16
"Block Systems Cleaners Inc","business","Madison","WI",4.0,5
"Dexter's Pub","business","Madison","WI",4.0,53
"HomeTown Buffet","business","Madison","WI",3.0,16
"Valvoline Instant Oil Change","business","Madison","WI",3.5,4
"Noodles & Company","business","Madison","WI",4.0,19
"Crowne Plaza Madison","business","Madison","WI",2.5,32
"Dorn True Value Hardware","business","Madison","WI",2.5,3
"Eagle Crest Bar","business","Madison","WI",2.5,6
"Klein Floral & Greenhouses Inc.","business","Madison","WI",2.5,4
"Millennium Salon","business","Madison","WI",4.5,4
"Michaels","business","Madison","WI",2.5,6
"International House of Pancakes","business","Madison","WI",2.0,9
"Comfort Inn & Suites Airport","business","Madison","WI",3.5,4
"Jenifer Street Market","business","Madison","WI",3.5,27
"Bowl-A-Vard Lanes","business","Madison","WI",3.5,6
"Papa John's","business","Madison","WI",3.5,3
"Wong's Garden","business","Madison","WI",3.5,19
"Bridals by Joyce","business","Madison","WI",4.0,7
"Cool Beans Coffee House and Cafe","business","Madison","WI",4.0,25
"Monty's Blue Plate Diner","business","Madison","WI",4.0,266
"Jim's Meat Market","business","Madison","WI",4.5,15
"Speckled Hen Inn Bed & Breakfast","business","Madison","WI",5.0,14
"Hampton Inn Madison East Towne Mall Area","business","Madison","WI",3.5,7
"Villa Tap","business","Madison","WI",4.0,11
"Ideal Bar","business","Madison","WI",4.0,4
"Players Sports Bar","business","Madison","WI",4.5,9
"Ohio Tavern","business","Madison","WI",3.0,8
"Menards","business","Madison","WI",3.0,8
"People's Bakery","business","Madison","WI",4.0,40
"Rosati's Authentic Chicago Pizza","business","Madison","WI",4.0,4
"007 Nails","business","Madison","WI",3.0,4
"Wash Basket","business","Madison","WI",3.5,3
"Inferno","business","Madison","WI",4.5,11
"PetSmart","business","Madison","WI",2.5,6
"Goodwill Industries of S Central Wisconsn Inc","business","Madison","WI",3.5,8
"Serenity Salon & Day Spa","business","Madison","WI",3.5,5
"Cafe Zoma","business","Madison","WI",3.5,24
"Food Fight Inc","business","Madison","WI",3.5,3
"Madison Mallards","business","Madison","WI",4.5,28
"Olbrich Botanical Gardens","business","Madison","WI",4.5,48
"Pizza Pit","business","Madison","WI",2.5,7
"Maharaja Restaurant E Pt Plaza","business","Madison","WI",4.0,34
"Esquire Club","business","Madison","WI",3.0,19
"Olive Garden Italian Restaurant","business","Madison","WI",3.5,11
"Imperial Garden Chinese Restaurant","business","Madison","WI",3.5,31
"Goodyear Auto Service Centers","business","Madison","WI",2.0,4
"Verizon Wireless","business","Madison","WI",1.5,4
"Mr Roberts","business","Madison","WI",3.0,11
"Great Clips","business","Madison","WI",1.5,3
"Wisconsin Aviation","business","Madison","WI",4.5,3
"Tip Top Tavern","business","Madison","WI",4.0,21
"Ford's Gym","business","Madison","WI",4.5,7
"Harmony Bar & Grill","business","Madison","WI",4.0,36
"Resale Records","business","Madison","WI",3.5,4
"TGI Friday's","business","Madison","WI",3.0,10
"Budget Car & Truck Rental","business","Madison","WI",3.0,4
"Woody Anne's","business","Madison","WI",4.5,11
"Firestone Complete Auto Care","business","Madison","WI",3.0,8
"Isthmus Eye Care","business","Madison","WI",5.0,5
"Smoky Jon's #1 BBQ","business","Madison","WI",4.0,112
"Fazoli's","business","Madison","WI",3.0,8
"Noah's Ark Pet Center","business","Madison","WI",4.0,7
"Video Game X-Change","business","Madison","WI",4.5,6
"Dimitri's Gyros","business","Madison","WI",3.5,3
"Pat O'Malley's Jet Room","business","Madison","WI",4.5,36
"Wisconsin Vision","business","Madison","WI",4.5,3
"Beckett Tax & Accounting Llc","business","Madison","WI",5.0,14
"Panera Bread","business","Madison","WI",3.5,11
"Enterprise Rent-A-Car","business","Madison","WI",4.5,5
"Geology Museum","business","Madison","WI",4.5,4
"U-Haul Moving & Storage of Eastside","business","Madison","WI",1.0,3
"Cottage Cafe","business","Madison","WI",4.0,13
"Eastside Transmission Service Inc","business","Madison","WI",5.0,3
"Gaylord Catering Service","business","Madison","WI",4.0,3
"Michael's Frozen Custard","business","Madison","WI",3.5,32
"Lazybones Laundry & Cleaning Services Inc","business","Madison","WI",2.5,3
"Harley's Liquor & Bait","business","Madison","WI",5.0,4
"East Side Club","business","Monona","WI",3.5,7
"Truesdell Animal Care Hospital & Clinic","business","Madison","WI",4.0,4
"Courtesy Auto Service","business","Madison","WI",5.0,10
"Tires Plus","business","Madison","WI",4.0,6
"Country Inn & Suites by Carlson-Madison","business","Monona","WI",3.0,5
"Mounds Pet Food Warehouse","business","Madison","WI",4.0,8
"Village Pedaler","business","Monona","WI",4.0,5
"Aldo Leopold Nature Center","business","Monona","WI",4.5,3
"Pizza Hut","business","Madison","WI",1.5,5
"Wayne's Automotive","business","Madison","WI",5.0,3
"La Rosita Latina Grocery Store","business","Monona","WI",5.0,4
"Marling Homeworks","business","Madison","WI",3.0,3
"Sorge CPA & Business Advisors SC","business","Monona","WI",2.0,4
"Dairy Queen","business","Madison","WI",1.5,5
"Rocky Rococo Pan Style Pizza","business","Madison","WI",3.0,3
"Farm & Fleet Co","business","Madison","WI",2.5,5
"Fat Jacks Barbecue","business","Monona","WI",3.5,23
"Brothers Main Appliance & TV","business","Madison","WI",4.5,4
"La Bamba","business","Monona","WI",2.0,4
"Menards","business","Monona","WI",2.0,9
"Starbucks","business","Monona","WI",4.5,10
"Radio Doctor of Madison Inc the","business","Madison","WI",4.0,4
"Rubin's Clearance Center","business","Monona","WI",4.0,5
"Monona Alterations","business","Monona","WI",4.5,3
"Poppa Coronofoulos Gyros & Chicago Style Deli","business","Madison","WI",4.0,5
"Monona Motors","business","Monona","WI",5.0,6
"Angelo's","business","Monona","WI",3.5,19
"Antiques Mall Of Madison","business","Madison","WI",4.0,8
"Metcalfe's Market","business","Madison","WI",4.0,45
"Arby's","business","Madison","WI",1.0,3
"Silver Eagle Bar & Grill","business","Monona","WI",3.5,13
"Carl's Cakes","business","Madison","WI",3.5,14
"Sentry Food Stores","business","Madison","WI",3.0,7
"The Ultimate Spa Salon","business","Monona","WI",3.5,22
"Tully's II Food & Spirits","business","Monona","WI",2.0,6
"Rossi's","business","Monona","WI",4.0,3
"Fraboni's Italian Specialties & Delicatessen","business","Monona","WI",4.5,7
"Ken's Meat's & Deli","business","Monona","WI",4.0,16
"KFC","business","Madison","WI",1.0,5
"Ben Franklin Store","business","Madison","WI",4.5,4
"Olson Vacuum Cleaner Sales & Service","business","Madison","WI",3.5,3
"Taco Bell","business","Monona","WI",3.0,3
"Buck's Pizza","business","Madison","WI",3.5,14
"David's Jamaican Cuisine","business","Monona","WI",4.0,32
"Groff's Buckeye Barber Shop","business","Madison","WI",5.0,3
"Broadway Tire","business","Monona","WI",3.5,3
"China Inn","business","Madison","WI",3.0,10
"Dairyland Family Restaurant","business","Madison","WI",3.0,11
"Monona Veterinary Clinic","business","Monona","WI",4.0,3
"Copps Foods","business","Monona","WI",3.0,3
"Packer Inn","business","Madison","WI",3.0,4
"Wendy's","business","Madison","WI",2.5,3
"Red Robin Gourmet Burgers","business","Monona","WI",2.5,30
"Tasting Room","business","Monona","WI",4.5,6
"Felly's Flowers","business","Monona","WI",3.0,6
"Taste of China","business","Monona","WI",3.0,5
"Madison Public Library - Pinney Branch","business","Madison","WI",4.0,3
"Noodles & Company","business","Monona","WI",2.5,7
"Culver's","business","Madison","WI",4.0,9
"Habitat For Humanity Restore","business","Madison","WI",3.5,6
"USA Nails","business","Monona","WI",2.5,3
"Toby's Supper Club","business","Madison","WI",4.0,33
"Hickory Hills Kennels","business","Madison","WI",4.0,8
"JBC Coffee Roasters","business","Madison","WI",5.0,6
"Oakhouse Farm Bakery","business","Madison","WI",4.0,4
"Staybridge Suites Extended Stay Hotel Madison-East","business","Madison","WI",3.5,5
"Grandstay Residential Suites","business","Madison","WI",4.5,5
"Paradigm Gardens","business","Madison","WI",5.0,4
"Pooley's","business","Madison","WI",3.0,16
"Eastgate Cinemas","business","Madison","WI",2.5,16
"Abra Auto Body","business","Madison","WI",4.5,3
"Uno Pizzeria & Grill","business","Madison","WI",3.0,24
"American TV & Appliance","business","Madison","WI",1.0,5
"All Comfort Services","business","Madison","WI",3.0,9
"Courtyard by Marriot - Madison East","business","Madison","WI",4.0,13
"Dane County Humane Society","business","Madison","WI",3.5,7
"Milio's Sandwiches","business","Madison","WI",3.5,12
"Mike's Wine Shop","business","Madison","WI",4.5,3
"Regent Market Co-Op","business","Madison","WI",4.5,4
"Best Western Inntowner And The Highland Club","business","Madison","WI",3.5,17
"Octopus Car Wash","business","Madison","WI",3.5,18
"Subway","business","Madison","WI",1.5,3
"Domino's Pizza","business","Phoenix","AZ",2.5,12
"Viad Tower Restaurants","business","Phoenix","AZ",3.5,5
"Sky Lounge","business","Phoenix","AZ",2.5,20
"Palazzo","business","Phoenix","AZ",2.5,15
"Virginia Auto Service","business","Phoenix","AZ",4.0,28
"Wild Thaiger","business","Phoenix","AZ",4.0,281
"V's Barbershop","business","Chandler","AZ",4.0,12
"Central Park Square Athletic Club","business","Phoenix","AZ",4.5,5
"Central Phoenix OB/Gyn","business","Phoenix","AZ",2.5,11
"Renaissance Fine Jewelry","business","Phoenix","AZ",4.0,4
"Best Western Central Phoenix Inn","business","Phoenix","AZ",3.0,10
"Safeway","business","Phoenix","AZ",2.5,52
"Canyon Cafe","business","Phoenix","AZ",3.5,176
"Teeter House Tea Room","business","Phoenix","AZ",3.0,11
"Phoenix Produce Company","business","Phoenix","AZ",5.0,4
"DeChance & Company","business","Phoenix","AZ",5.0,6
"Burger King","business","Phoenix","AZ",2.5,7
"St Mary's Basilica Catholic Church","business","Phoenix","AZ",5.0,13
"The Heard Museum","business","Phoenix","AZ",4.0,97
"Herberger Theater Center","business","Phoenix","AZ",4.0,54
"Arizona School For the Arts","business","Phoenix","AZ",4.0,5
"Taco Bell","business","Phoenix","AZ",3.5,6
"Majerle's Sports Grill","business","Phoenix","AZ",3.5,157
"Michael's Jewelers","business","Phoenix","AZ",5.0,5
"Yellow Cab","business","Phoenix","AZ",1.5,17
"Pizzeria Uno","business","Phoenix","AZ",2.5,18
"Oak Creek","business","Phoenix","AZ",4.0,4
"Hotel San Carlos","business","Phoenix","AZ",3.0,62
"Perry Monge Salon Spa","business","Phoenix","AZ",4.5,20
"Actors Theatre of Phoenix","business","Phoenix","AZ",4.5,6
"International House of Pancakes","business","Phoenix","AZ",3.5,40
"Comedor Guadalajara","business","Phoenix","AZ",4.0,161
"Phoenix Theatre","business","Phoenix","AZ",4.0,29
"Chico's Tacos","business","Phoenix","AZ",3.0,65
"Phoenix Blue Fin","business","Phoenix","AZ",4.0,145
"Circles Records & Tapes","business","Phoenix","AZ",2.5,4
"Coach & Willies","business","Phoenix","AZ",3.0,79
"Jackson's On 3rd","business","Phoenix","AZ",2.0,10
"University Club of Phoenix","business","Phoenix","AZ",4.5,5
"Fate 905","business","Phoenix","AZ",3.0,90
"Matador Restaurant","business","Phoenix","AZ",3.0,58
"Paisley Violin","business","Phoenix","AZ",3.5,60
"New Garden Restaurant","business","Phoenix","AZ",3.0,6
"Shafran Bronislava MD","business","Phoenix","AZ",3.5,3
"AT & T Wireless","business","Phoenix","AZ",1.0,4
"Panorama Wigs","business","Phoenix","AZ",4.0,6
"Paradise Bakery","business","Phoenix","AZ",4.0,7
"Renaissance Club","business","Phoenix","AZ",4.5,3
"Mi Amigo's Mexican Grill","business","Phoenix","AZ",3.0,93
"Baja Fresh Mexican Grill","business","Phoenix","AZ",3.5,23
"Hooters","business","Phoenix","AZ",2.5,77
"The Old Spaghetti Factory","business","Phoenix","AZ",3.0,189
"Crave Sandwich Cafe & Catering","business","Phoenix","AZ",3.5,21
"Tom's Tavern & 1929 Grill","business","Phoenix","AZ",3.0,53
"Karim's Cobbler Shop & Deli","business","Phoenix","AZ",3.5,19
"Starbucks","business","Phoenix","AZ",3.5,10
"Arizona Central Credit Union","business","Phoenix","AZ",3.5,3
"Los Olivos Hand Car Wash","business","Phoenix","AZ",3.5,91
"The Downtown Deli","business","Phoenix","AZ",3.5,50
"Zoes Kitchen","business","Phoenix","AZ",3.5,109
"Sunwest Federal Credit Union","business","Phoenix","AZ",3.5,4
"The Met","business","Phoenix","AZ",3.5,4
"Subway","business","Phoenix","AZ",2.0,4
"The Brickhouse","business","Phoenix","AZ",3.5,7
"Central United Methodist Church","business","Phoenix","AZ",4.0,4
"Kzon 101.5 Fm","business","Phoenix","AZ",3.5,3
"Downtown","business","Phoenix","AZ",2.5,8
"KMLE FM 108 - Camel Country","business","Phoenix","AZ",5.0,4
"Hard Rock Cafe","business","Phoenix","AZ",3.0,86
"Papa Christo's","business","Phoenix","AZ",3.5,22
"McDonald's","business","Phoenix","AZ",1.5,14
"Eye Lounge","business","Phoenix","AZ",4.5,11
"Phoenix Convention Center","business","Phoenix","AZ",3.5,56
"Subway","business","Phoenix","AZ",4.0,10
"Central Cafe","business","Phoenix","AZ",4.0,6
"Jordan's Mexican Food","business","Phoenix","AZ",2.0,4
"Training To You Inc","business","Phoenix","AZ",4.5,3
"Digestive Health Center of Arizona","business","Phoenix","AZ",3.0,5
"Duck & Decanter","business","Phoenix","AZ",4.0,35
"Best of Philly","business","Phoenix","AZ",3.5,49
"Fastsigns","business","Phoenix","AZ",4.5,3
"Arizona Center","business","Phoenix","AZ",3.0,46
"Cali Nails 4","business","Phoenix","AZ",3.5,29
"Ichi Ban Japanese Restaurant & Sushi","business","Phoenix","AZ",3.5,40
"Schlotzskys Deli","business","Phoenix","AZ",2.5,15
"Honey Bear's BBQ","business","Phoenix","AZ",3.0,191
"Cheuvront","business","Phoenix","AZ",3.5,189
"Alice Cooper'stown","business","Phoenix","AZ",3.5,299
"Tee Pee Tap Room","business","Phoenix","AZ",2.5,22
"Bentley Projects","business","Phoenix","AZ",4.5,10
"US Airways Center","business","Phoenix","AZ",4.0,118
"Holiday Inn Express","business","Phoenix","AZ",4.5,16
"Arizona Baseball Club Restaurant","business","Phoenix","AZ",3.5,6
"Friday's Front Row Sports Grill","business","Phoenix","AZ",3.5,73
"Modified Arts","business","Phoenix","AZ",3.5,29
"Phoenix Symphony","business","Phoenix","AZ",4.5,15
"A Touch of Yogurt","business","Phoenix","AZ",4.0,13
"Bar Bianco","business","Phoenix","AZ",4.5,51
"Athenian Express","business","Phoenix","AZ",3.5,75
"Arizona Science Center","business","Phoenix","AZ",4.0,171
"Arizona Heart Institute","business","Phoenix","AZ",2.0,4
"Pizza Hut","business","Phoenix","AZ",2.0,4
"Subway","business","Phoenix","AZ",2.5,7
"Big Brothers Big Sisters of Central Arizona","business","Phoenix","AZ",3.5,4
"Banner Good Samaritan Medical Center","business","Phoenix","AZ",3.5,31
"Photomart","business","Scottsdale","AZ",4.0,11
"Rosita's Place","business","Phoenix","AZ",4.0,129
"Cash Inn Country","business","Phoenix","AZ",4.0,22
"Ultra Collision","business","Phoenix","AZ",5.0,8
"Whataburger","business","Phoenix","AZ",3.0,20
"El Y Ella","business","Phoenix","AZ",3.5,5
"That's A Wrap","business","Phoenix","AZ",4.0,82
"Super 8 Phoenix Downtown","business","Phoenix","AZ",2.0,14
"Fresh Start Women's Resource Center","business","Phoenix","AZ",4.5,4
"Alpha Book Center","business","Phoenix","AZ",4.0,6
"The Wheel Shop","business","Phoenix","AZ",3.0,5
"La Tolteca Mexican Foods","business","Phoenix","AZ",4.0,147
"Gourmet House of Hong Kong","business","Phoenix","AZ",3.5,77
"Tacos Mexico","business","Phoenix","AZ",4.5,3
"Dulceria Pico Rico","business","Phoenix","AZ",3.5,5
"Arizona Pediatric Cardiology Consultants","business","Phoenix","AZ",4.0,4
"Center For Spinal Disorders","business","Phoenix","AZ",2.5,3
"Alwun House","business","Phoenix","AZ",4.0,13
"Sunshine Market","business","Phoenix","AZ",4.5,15
"Sojourner Center","business","Phoenix","AZ",3.5,6
"Welcome Diner","business","Phoenix","AZ",4.5,196
"Karamba Nightclub","business","Phoenix","AZ",3.0,13
"Bandaids Show Lounge","business","Phoenix","AZ",3.0,18
"Austin Linda MD","business","Phoenix","AZ",3.5,3
"Southwest Women's Care","business","Phoenix","AZ",3.5,8
"Phoenix Ranch Market III","business","Phoenix","AZ",4.5,125
"TASC Inc","business","Phoenix","AZ",1.0,6
"Bavarian Motors Ltd","business","Phoenix","AZ",4.5,18
"Metro Appliance Service Company","business","Phoenix","AZ",2.5,4
"Ryan's Pet Supplies","business","Phoenix","AZ",4.0,71
"Mariscos Ensenada","business","Phoenix","AZ",4.0,14
"Rainbow Donut","business","Phoenix","AZ",4.0,59
"Red Modern Furniture","business","Phoenix","AZ",3.5,20
"Techniprint Company","business","Phoenix","AZ",5.0,3
"Phoenix Perinatal Associates","business","Phoenix","AZ",4.0,5
"Guanaquito Restaurant","business","Phoenix","AZ",4.5,53
"Tacos De Juarez","business","Phoenix","AZ",3.5,65
"Coco's Family Restaurant","business","Phoenix","AZ",3.0,21
"Walgreens","business","Phoenix","AZ",3.0,8
"Coronado Cafe","business","Phoenix","AZ",4.0,175
"Botas El Jibaro","business","Phoenix","AZ",3.5,3
"Sonic Drive-In","business","Phoenix","AZ",3.0,9
"MacAlpine's Soda Fountain","business","Phoenix","AZ",3.5,178
"Royale Lounge","business","Phoenix","AZ",4.5,15
"Rito's Market & Mexican Take Out","business","Phoenix","AZ",4.5,154
"Food City","business","Phoenix","AZ",3.0,5
"Cigna Healthcare of Arizona","business","Phoenix","AZ",3.5,4
"Realeza Michoacana","business","Phoenix","AZ",4.0,8
"Sierra Hardwood Floors","business","Phoenix","AZ",2.5,3
"U-Haul Moving & Storage at 24th & McDowell","business","Phoenix","AZ",3.0,4
"Stanley's Homemade Polish Sausage","business","Phoenix","AZ",4.5,30
"Pediatric Urology and Associates","business","Phoenix","AZ",4.5,3
"Springhill Suites by Marriott","business","Phoenix","AZ",3.0,20
"San Carlos Bay Seafood Restaurant","business","Phoenix","AZ",4.0,33
"Mariscos Playa Hermosa","business","Phoenix","AZ",4.5,176
"Hacienda Restaurant","business","Phoenix","AZ",3.0,5
"Desert Botanical Garden","business","Phoenix","AZ",4.5,397
"Lonnie's Inc","business","Phoenix","AZ",2.5,8
"Blue Collar Clothing","business","Phoenix","AZ",5.0,4
"Jugheads","business","Phoenix","AZ",2.5,7
"DoubleTree Suites by Hilton - Phoenix","business","Phoenix","AZ",3.5,42
"99 Ranch Market","business","Phoenix","AZ",4.0,20
